                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0512,                 2.0845,                0.61137,                0.40432,                 0.4693,                0.29994,                0.10542,                0.68582,                0.89266,                0.39708,              0.0033227,              0.0033227,              0.0033227
                      2,                0.71562,                0.63563,                0.37776,                0.77146,                0.70977,                0.74874,                0.30807,                0.61542,                 0.5978,                0.34725,              0.0066396,              0.0066396,              0.0066396
                      3,                0.66422,                0.60462,                0.34307,                0.70959,                0.56039,                0.60204,                0.21605,                0.70968,                 0.7735,                0.40851,              0.0099399,              0.0099399,              0.0099399
                      4,                0.69646,                0.59084,                 0.3539,                0.80663,                0.78532,                0.81133,                0.33882,                 0.6102,                0.57762,                0.34047,              0.0099258,              0.0099258,              0.0099258
                      5,                0.68246,                0.58193,                0.32752,                0.78266,                0.78691,                0.80181,                0.29006,                 0.6499,                0.57476,                0.37162,              0.0099258,              0.0099258,              0.0099258
                      6,                0.69345,                0.57761,                 0.3331,                0.79851,                0.78276,                0.81301,                0.34745,                0.60433,                0.60437,                0.33367,               0.009901,               0.009901,               0.009901
                      7,                0.65784,                0.59282,                0.32412,                0.79359,                0.79855,                0.82331,                0.36807,                0.56996,                0.56307,                0.31309,              0.0098763,              0.0098763,              0.0098763
                      8,                0.66662,                0.57894,                0.32625,                0.80226,                 0.7516,                0.77978,                 0.2936,                0.67846,                0.53374,                  0.357,              0.0098515,              0.0098515,              0.0098515
                      9,                0.67632,                 0.5766,                0.32417,                0.77225,                0.80154,                0.80939,                0.31836,                0.61943,                0.56673,                0.37858,              0.0098268,              0.0098268,              0.0098268
                     10,                0.67663,                0.58358,                0.31791,                 0.8138,                0.78346,                0.79922,                0.28974,                 0.6664,                0.54711,                0.34248,               0.009802,               0.009802,               0.009802
                     11,                0.63443,                0.57598,                0.29924,                0.77265,                0.71788,                0.76007,                0.35504,                0.55502,                0.68558,                 0.3065,              0.0097773,              0.0097773,              0.0097773
                     12,                0.66647,                0.57619,                0.30938,                0.70651,                0.56765,                0.60815,                0.20365,                0.72799,                0.69481,                0.39949,              0.0097525,              0.0097525,              0.0097525
                     13,                0.68252,                0.57142,                0.31496,                0.72645,                 0.5557,                0.59246,                0.23491,                0.77806,                0.65841,                0.51762,              0.0097278,              0.0097278,              0.0097278
                     14,                0.64931,                0.57256,                0.31148,                0.81797,                0.82629,                0.84877,                0.37898,                0.57149,                0.54591,                0.31172,               0.009703,               0.009703,               0.009703
                     15,                0.61356,                0.57466,                0.30304,                0.80854,                0.79513,                0.82566,                0.38786,                0.55996,                0.59511,                0.30706,              0.0096783,              0.0096783,              0.0096783
                     16,                0.64134,                0.56879,                0.30251,                0.81875,                0.83312,                0.84959,                0.37582,                0.55277,                0.55425,                 0.3149,              0.0096535,              0.0096535,              0.0096535
                     17,                0.63707,                0.56557,                0.29972,                0.81029,                 0.8519,                 0.8483,                0.39486,                0.54418,                0.53982,                0.30184,              0.0096288,              0.0096288,              0.0096288
                     18,                0.61999,                0.56389,                0.28888,                 0.8242,                0.84294,                0.85906,                0.40196,                0.54273,                0.53257,                0.30391,               0.009604,               0.009604,               0.009604
                     19,                0.62471,                0.56739,                0.29747,                0.81137,                0.85233,                0.85179,                0.35669,                 0.5965,                0.55228,                0.33442,              0.0095793,              0.0095793,              0.0095793
                     20,                0.62832,                0.55991,                0.30288,                0.83885,                0.83759,                0.84693,                0.38299,                0.56444,                0.55426,                  0.302,              0.0095545,              0.0095545,              0.0095545
                     21,                0.61636,                0.55316,                0.28549,                0.84501,                0.87239,                0.87815,                0.42343,                0.53871,                0.54463,                0.28592,              0.0095298,              0.0095298,              0.0095298
                     22,                0.64687,                0.55817,                0.29819,                0.84352,                0.86342,                0.88187,                0.42056,                0.53798,                0.53962,                0.28966,               0.009505,               0.009505,               0.009505
                     23,                0.61326,                0.56686,                0.28226,                0.78784,                0.74477,                0.76183,                0.31719,                0.61195,                0.57549,                0.36186,              0.0094803,              0.0094803,              0.0094803
                     24,                0.61442,                0.56375,                0.28372,                0.82143,                0.86556,                0.85179,                0.40651,                0.52491,                0.54619,                 0.2891,              0.0094555,              0.0094555,              0.0094555
                     25,                0.61658,                0.54914,                0.28409,                0.81639,                0.85233,                0.84495,                0.34112,                0.60674,                0.53416,                0.32042,              0.0094307,              0.0094307,              0.0094307
                     26,                0.62868,                 0.5518,                0.28753,                0.83833,                0.81263,                 0.8222,                 0.3878,                0.54277,                0.55403,                0.29422,               0.009406,               0.009406,               0.009406
                     27,                0.62144,                0.55941,                 0.2791,                0.80211,                0.85289,                0.82679,                0.37419,                0.54539,                 0.5303,                0.30674,              0.0093813,              0.0093813,              0.0093813
                     28,                0.63686,                0.56031,                0.29291,                0.82662,                0.85258,                0.85636,                0.41361,                0.52977,                0.52634,                0.28657,              0.0093565,              0.0093565,              0.0093565
                     29,                0.58259,                0.56725,                0.27122,                0.83658,                0.87793,                0.86909,                0.40568,                0.53736,                0.55688,                0.29899,              0.0093317,              0.0093317,              0.0093317
                     30,                0.58315,                0.57439,                 0.2726,                0.83402,                0.87324,                0.85843,                0.38042,                0.55016,                0.54568,                 0.3088,               0.009307,               0.009307,               0.009307
                     31,                0.58534,                0.56305,                0.27911,                0.79655,                0.80041,                0.80797,                0.37144,                 0.5612,                 0.5867,                0.31409,              0.0092823,              0.0092823,              0.0092823
                     32,                0.60133,                0.56571,                0.28007,                0.84084,                0.88732,                0.87293,                0.42805,                0.52371,                0.55831,                0.29044,              0.0092575,              0.0092575,              0.0092575
                     33,                 0.6136,                0.54277,                0.27766,                0.82263,                0.86257,                0.85397,                0.39899,                 0.5563,                0.53467,                0.29797,              0.0092327,              0.0092327,              0.0092327
