                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2049,                 2.0819,                0.72978,                0.31731,                0.38796,                0.24538,                0.06425,                0.77516,                0.85955,                0.44167,              0.0033227,              0.0033227,              0.0033227
                      2,                0.71136,                0.69042,                0.37222,                0.72606,                0.69683,                0.71286,                 0.2527,                0.67601,                0.59234,                0.38154,              0.0066396,              0.0066396,              0.0066396
                      3,                0.66733,                0.61019,                0.34861,                0.75199,                0.69495,                0.70705,                0.25989,                0.65073,                0.60862,                0.38631,              0.0099399,              0.0099399,              0.0099399
                      4,                0.67663,                 0.5999,                0.34834,                 0.7273,                0.60691,                0.66053,                0.26583,                0.62608,                0.67746,                0.35607,              0.0099258,              0.0099258,              0.0099258
                      5,                 0.6784,                0.60181,                0.33259,                0.70344,                0.59283,                0.61488,                0.22047,                0.70262,                0.60179,                0.43939,              0.0099258,              0.0099258,              0.0099258
                      6,                0.67419,                0.59133,                0.32509,                 0.7924,                0.68422,                0.73132,                0.29531,                0.64931,                0.60489,                0.36061,               0.009901,               0.009901,               0.009901
                      7,                0.65482,                0.60612,                0.31809,                0.79679,                0.77764,                0.79345,                0.29234,                0.67432,                0.53739,                0.35119,              0.0098763,              0.0098763,              0.0098763
                      8,                0.63374,                0.60558,                0.31124,                0.72697,                0.70799,                0.69777,                0.21823,                 0.7424,                0.53275,                0.41757,              0.0098515,              0.0098515,              0.0098515
                      9,                0.64823,                0.59198,                 0.3142,                 0.8034,                0.80879,                0.82472,                0.35343,                0.58498,                0.56423,                 0.3343,              0.0098268,              0.0098268,              0.0098268
                     10,                0.63617,                 0.5931,                0.30466,                0.84033,                0.86385,                0.88751,                0.41762,                0.52549,                0.55712,                0.29091,               0.009802,               0.009802,               0.009802
                     11,                0.61441,                 0.5858,                0.29563,                0.79733,                 0.7724,                0.78145,                0.32029,                0.57604,                0.59109,                0.33652,              0.0097773,              0.0097773,              0.0097773
                     12,                0.62157,                0.58679,                0.29572,                0.79755,                 0.8216,                0.82595,                0.34363,                0.59027,                0.55038,                0.33717,              0.0097525,              0.0097525,              0.0097525
                     13,                0.62134,                0.58547,                0.29201,                0.80432,                0.81349,                0.82693,                0.37177,                0.55877,                0.56842,                0.30953,              0.0097278,              0.0097278,              0.0097278
                     14,                0.61355,                0.58732,                  0.296,                0.83207,                0.85645,                0.87734,                  0.395,                0.55842,                 0.5323,                0.30048,               0.009703,               0.009703,               0.009703
                     15,                0.60895,                0.59072,                0.29901,                0.82821,                0.83954,                0.86426,                0.40503,                0.54991,                  0.554,                0.30695,              0.0096783,              0.0096783,              0.0096783
                     16,                0.59816,                0.57995,                0.28375,                0.83882,                0.86556,                0.88693,                0.43264,                0.51634,                0.53758,                0.28072,              0.0096535,              0.0096535,              0.0096535
                     17,                0.58956,                0.58422,                0.28204,                0.82708,                0.86854,                 0.8687,                0.39413,                0.55554,                0.54748,                0.30006,              0.0096288,              0.0096288,              0.0096288
                     18,                 0.5869,                0.57405,                0.27765,                0.83049,                0.86129,                0.87158,                0.37903,                0.56419,                0.54943,                0.31004,               0.009604,               0.009604,               0.009604
                     19,                0.59548,                0.58959,                0.28053,                0.82057,                0.83739,                0.86035,                0.39234,                0.54857,                0.55276,                0.29847,              0.0095793,              0.0095793,              0.0095793
                     20,                0.58847,                0.57346,                0.28724,                0.82924,                0.86342,                0.85858,                0.37157,                  0.585,                0.57078,                0.31569,              0.0095545,              0.0095545,              0.0095545
                     21,                0.58858,                0.56984,                0.27462,                0.86335,                0.86559,                0.88662,                0.43389,                0.50873,                0.56265,                0.27357,              0.0095298,              0.0095298,              0.0095298
                     22,                 0.5917,                0.57099,                0.27391,                0.84767,                0.87751,                 0.8931,                0.45035,                0.49675,                0.54717,                0.26972,               0.009505,               0.009505,               0.009505
                     23,                0.58397,                0.57232,                0.27371,                0.83976,                0.86854,                0.87399,                 0.3836,                0.55942,                0.55246,                0.30723,              0.0094803,              0.0094803,              0.0094803
                     24,                0.58351,                0.56287,                0.27258,                0.82204,                0.84578,                0.84257,                 0.4048,                0.53071,                0.54751,                0.29506,              0.0094555,              0.0094555,              0.0094555
                     25,                0.57013,                0.56909,                0.27061,                 0.8207,                 0.8322,                0.84415,                0.37391,                0.55109,                0.57464,                0.30129,              0.0094307,              0.0094307,              0.0094307
                     26,                 0.5698,                0.57294,                0.26696,                0.83667,                0.88988,                0.87544,                0.40353,                0.54285,                0.55857,                0.30667,               0.009406,               0.009406,               0.009406
                     27,                0.57776,                0.56212,                0.26591,                0.80249,                0.78873,                0.80439,                0.33563,                0.59777,                0.56256,                0.33208,              0.0093813,              0.0093813,              0.0093813
                     28,                0.56638,                0.57317,                0.26911,                0.84144,                0.83802,                0.87215,                0.42773,                0.50802,                0.55066,                0.27402,              0.0093565,              0.0093565,              0.0093565
                     29,                0.57559,                0.57362,                 0.2668,                0.85827,                0.82188,                0.84699,                 0.3823,                0.55106,                 0.5599,                0.29354,              0.0093317,              0.0093317,              0.0093317
                     30,                0.54646,                0.56655,                0.26043,                0.85126,                 0.8822,                0.87811,                0.41653,                 0.5293,                0.54317,                0.29341,               0.009307,               0.009307,               0.009307
                     31,                0.54108,                0.56617,                0.26157,                0.84771,                0.86243,                0.87303,                0.41041,                0.54503,                  0.558,                 0.3007,              0.0092823,              0.0092823,              0.0092823
                     32,                0.52901,                0.57571,                0.25797,                0.84841,                0.89337,                0.87965,                0.43206,                0.51647,                0.55026,                0.27969,              0.0092575,              0.0092575,              0.0092575
                     33,                0.53628,                0.56404,                0.25235,                 0.8475,                0.89894,                0.89015,                0.43467,                0.52014,                0.54886,                 0.2859,              0.0092327,              0.0092327,              0.0092327
                     34,                0.53043,                0.57594,                0.25243,                0.84835,                0.87863,                0.86732,                 0.4264,                0.51874,                0.55036,                0.28261,               0.009208,               0.009208,               0.009208
                     35,                0.52089,                0.57428,                 0.2523,                0.85553,                0.88647,                0.87909,                0.41479,                0.51797,                0.55077,                0.28907,              0.0091833,              0.0091833,              0.0091833
                     36,                0.52343,                0.56932,                0.25492,                0.84025,                0.89344,                0.88232,                0.42912,                0.50992,                0.54545,                  0.282,              0.0091585,              0.0091585,              0.0091585
                     37,                0.51386,                0.55236,                0.24706,                0.84652,                0.89926,                0.88821,                0.42489,                0.51402,                0.56099,                 0.2806,              0.0091337,              0.0091337,              0.0091337
                     38,                0.53105,                0.56724,                0.25211,                0.85405,                0.87161,                0.87593,                0.42303,                0.51462,                 0.5539,                  0.288,               0.009109,               0.009109,               0.009109
                     39,                0.51589,                0.57654,                0.24921,                0.84068,                0.86482,                 0.8755,                0.43034,                0.53565,                0.57063,                0.29044,              0.0090843,              0.0090843,              0.0090843
                     40,                0.51154,                0.56506,                0.24078,                0.83189,                0.90187,                0.88223,                0.42041,                0.52953,                0.54982,                0.29499,              0.0090595,              0.0090595,              0.0090595
                     41,                0.50657,                0.57327,                0.25116,                0.83912,                0.92381,                0.88397,                0.44585,                0.51328,                0.55175,                0.28907,              0.0090347,              0.0090347,              0.0090347
                     42,                0.51219,                0.56463,                0.25107,                0.84669,                0.88866,                 0.8785,                0.44026,                0.51091,                0.55013,                0.28325,                0.00901,                0.00901,                0.00901
                     43,                0.51303,                0.55571,                0.24484,                0.85772,                0.89798,                0.89342,                0.45094,                 0.5133,                0.53993,                0.28004,              0.0089853,              0.0089853,              0.0089853
                     44,                0.52672,                0.56608,                0.24677,                0.84789,                 0.8869,                 0.8841,                0.42192,                0.53624,                0.55191,                 0.2906,              0.0089605,              0.0089605,              0.0089605
                     45,                0.51044,                0.55613,                0.24456,                0.82609,                0.87409,                0.86644,                0.42436,                0.52745,                0.54004,                0.29044,              0.0089358,              0.0089358,              0.0089358
                     46,                0.51013,                 0.5625,                0.24547,                0.85309,                0.87452,                0.88379,                0.44319,                0.51355,                 0.5506,                  0.281,               0.008911,               0.008911,               0.008911
                     47,                0.50676,                0.56398,                0.24534,                0.83639,                0.87491,                0.86777,                0.43344,                0.52283,                 0.5601,                0.28632,              0.0088863,              0.0088863,              0.0088863
                     48,                0.50202,                0.55683,                0.24223,                0.85216,                 0.9044,                 0.8918,                 0.4463,                0.49884,                 0.5579,                0.27668,              0.0088615,              0.0088615,              0.0088615
                     49,                0.49915,                0.55951,                0.23748,                0.84821,                 0.9087,                0.89509,                0.45872,                0.49491,                0.53744,                0.26994,              0.0088368,              0.0088368,              0.0088368
                     50,                0.50496,                0.57398,                0.24008,                0.86019,                0.88231,                0.88811,                 0.4315,                0.52519,                0.53348,                0.28853,               0.008812,               0.008812,               0.008812
                     51,                0.49957,                0.56691,                0.24261,                0.85639,                0.88818,                0.89196,                0.44781,                 0.5202,                0.54353,                0.28647,              0.0087872,              0.0087872,              0.0087872
                     52,                0.49397,                0.56751,                0.23469,                0.86042,                0.88647,                0.88299,                0.44667,                0.50444,                0.54333,                0.27774,              0.0087625,              0.0087625,              0.0087625
                     53,                0.50157,                0.55438,                0.23671,                0.86991,                0.90269,                0.91041,                0.46359,                0.50908,                0.53269,                0.27467,              0.0087378,              0.0087378,              0.0087378
                     54,                0.49312,                0.55583,                0.23712,                0.85359,                0.90482,                0.90494,                0.45656,                0.50859,                0.54888,                0.27859,               0.008713,               0.008713,               0.008713
                     55,                0.48606,                0.56546,                0.23775,                0.85347,                 0.9108,                0.89741,                0.45526,                0.50183,                0.56524,                0.27646,              0.0086882,              0.0086882,              0.0086882
                     56,                0.48741,                0.56449,                0.23217,                0.84934,                0.88775,                0.88249,                0.43656,                0.51632,                0.55485,                0.28924,              0.0086635,              0.0086635,              0.0086635
                     57,                 0.4825,                0.55928,                0.23628,                0.87289,                0.89687,                0.91197,                0.46138,                0.51928,                0.53145,                0.28504,              0.0086388,              0.0086388,              0.0086388
                     58,                0.48246,                  0.563,                0.23067,                0.85678,                0.88391,                0.88925,                0.44694,                 0.5125,                0.55045,                0.28087,               0.008614,               0.008614,               0.008614
                     59,                0.48736,                0.55445,                0.23104,                0.84893,                0.89202,                0.88546,                  0.451,                0.52466,                0.54478,                0.28932,              0.0085893,              0.0085893,              0.0085893
                     60,                 0.4737,                0.56394,                0.23102,                0.86553,                0.88348,                0.89511,                0.46468,                0.51313,                0.53206,                0.28266,              0.0085645,              0.0085645,              0.0085645
                     61,                0.48337,                0.56274,                0.23586,                0.85624,                0.88213,                0.88684,                0.44711,                0.50633,                0.55648,                0.27867,              0.0085398,              0.0085398,              0.0085398
                     62,                0.48569,                0.56461,                0.23532,                0.85546,                0.89672,                0.88753,                0.43085,                0.53553,                0.54173,                0.30055,               0.008515,               0.008515,               0.008515
                     63,                0.48936,                0.55318,                0.23433,                0.86491,                0.89629,                0.89444,                 0.4452,                0.51537,                0.55611,                0.28793,              0.0084903,              0.0084903,              0.0084903
