                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1576,                 2.4573,                 2.4294,                0.75894,                0.68932,                0.74721,                0.32923,                 1.6945,                 1.5449,                 1.9867,              0.0033214,              0.0033214,              0.0033214
                      2,                 1.8209,                 1.5428,                 1.9894,                0.66649,                0.72855,                 0.6566,                0.24809,                 1.8827,                 1.4597,                 2.0473,              0.0066382,              0.0066382,              0.0066382
                      3,                 1.8622,                 1.7094,                 2.0023,                0.71816,                0.46948,                0.57437,                 0.2551,                 1.9965,                 1.9016,                 2.1602,              0.0099386,              0.0099386,              0.0099386
                      4,                 1.8788,                 1.7671,                 2.0475,                0.77631,                0.66752,                0.74186,                0.34882,                 1.7271,                 1.3214,                 1.9446,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.8608,                 1.6535,                 2.0602,                0.65523,                0.61402,                0.62317,                 0.2714,                 1.9334,                 1.7536,                 2.2137,              0.0099258,              0.0099258,              0.0099258
                      6,                  1.822,                 1.4899,                 2.0633,                0.69453,                0.57362,                0.62863,                0.27809,                 1.8855,                 1.7429,                 2.2124,               0.009901,               0.009901,               0.009901
                      7,                 1.8039,                 1.4616,                 2.0607,                0.74334,                0.70807,                0.75908,                0.34924,                 1.7535,                  1.367,                 2.1243,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.8014,                 1.4187,                 2.0496,                0.78976,                0.69526,                 0.7604,                0.32326,                 1.8696,                 1.4843,                 2.2597,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.7627,                 1.3387,                 2.0223,                0.74967,                0.71447,                0.77678,                0.36837,                 1.6865,                 1.2973,                 2.0608,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.7274,                 1.3313,                  2.019,                0.59789,                0.52862,                0.56737,                0.24941,                 1.8973,                 1.8878,                 2.3648,               0.009802,               0.009802,               0.009802
                     11,                 1.7308,                 1.3298,                 2.0076,                0.68451,                0.68524,                0.70489,                0.29408,                 1.8765,                 1.4197,                 2.2454,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.7141,                 1.2725,                 2.0075,                0.84033,                0.82202,                 0.8719,                 0.4264,                 1.6122,                 1.1448,                 2.0199,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.6942,                 1.2793,                 1.9829,                0.80143,                 0.7388,                 0.8092,                0.39951,                 1.6622,                 1.1719,                 2.0871,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.6801,                 1.2827,                 1.9858,                0.82031,                0.77743,                0.82187,                0.38328,                 1.6421,                 1.1193,                 2.1237,               0.009703,               0.009703,               0.009703
                     15,                 1.6676,                 1.2269,                 1.9841,                0.78907,                0.75459,                0.80646,                0.39255,                 1.5871,                 1.1728,                 2.1057,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.6658,                 1.2122,                  1.985,                 0.8265,                0.76039,                0.83389,                0.41115,                 1.5628,                 1.1659,                 2.0166,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.6654,                  1.174,                 1.9599,                0.84935,                0.75796,                 0.8519,                0.41908,                 1.6736,                 1.2166,                 2.0567,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.6662,                 1.1942,                 1.9685,                0.83383,                0.72815,                0.82558,                0.41186,                 1.6294,                 1.2001,                 2.0982,               0.009604,               0.009604,               0.009604
                     19,                 1.6483,                  1.168,                 1.9639,                0.85418,                0.81754,                0.88633,                0.45333,                  1.533,                 1.0326,                 1.9878,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.6287,                 1.1945,                 1.9651,                0.82073,                0.75544,                0.82683,                0.41187,                 1.6095,                 1.2564,                 2.0923,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.6477,                 1.1448,                 1.9571,                0.84027,                0.81861,                0.85852,                0.41464,                 1.5918,                 1.1414,                 2.0442,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.6244,                 1.1467,                 1.9363,                0.85224,                0.81483,                0.86713,                0.43699,                 1.5729,                 1.0757,                   2.02,               0.009505,               0.009505,               0.009505
                     23,                 1.6241,                 1.1314,                 1.9535,                0.84462,                0.81477,                0.86032,                0.42903,                 1.6081,                 1.1756,                 2.0541,              0.0094803,              0.0094803,              0.0094803
                     24,                  1.614,                 1.1407,                 1.9504,                0.85529,                0.81904,                 0.8663,                0.43714,                 1.6001,                 1.0261,                 2.1227,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.6246,                 1.1333,                 1.9346,                0.86404,                0.83397,                 0.8813,                0.43356,                 1.5882,                 1.0234,                 2.0686,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.6107,                 1.1165,                 1.9323,                0.85337,                0.77253,                0.86097,                0.44071,                 1.5617,                 1.0998,                 2.0646,               0.009406,               0.009406,               0.009406
                     27,                 1.6234,                 1.1246,                 1.9418,                0.87932,                0.84273,                0.89316,                0.44815,                 1.5418,                 1.0111,                  2.035,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.6046,                 1.0921,                  1.946,                0.85824,                0.84806,                0.89252,                 0.4448,                 1.5566,                0.98588,                 2.0697,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.6126,                 1.0605,                 1.9636,                 0.8689,                0.83525,                0.87612,                0.45073,                 1.5523,                 1.0154,                  2.095,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.5714,                 1.0612,                 1.9394,                 0.8361,                0.78596,                0.86686,                0.45035,                 1.5622,                 1.0824,                 2.1222,               0.009307,               0.009307,               0.009307
