                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3263,                 2.4436,                 2.4189,                0.59208,                0.61205,                0.60937,                0.25936,                 1.9644,                 1.5475,                  2.158,              0.0033121,              0.0033121,              0.0033121
                      2,                 1.8366,                 1.4809,                 1.9082,                0.74758,                0.69526,                0.74323,                0.33294,                 1.7808,                 1.1665,                 1.8551,               0.006629,               0.006629,               0.006629
                      3,                 1.8341,                 1.5058,                 1.8796,                0.38687,                0.35602,                0.27501,                0.10317,                 2.4442,                  2.665,                 2.3575,              0.0099294,              0.0099294,              0.0099294
                      4,                 1.8376,                 1.5212,                 1.9176,                0.53759,                0.35638,                 0.3992,                0.17747,                 2.2049,                  2.576,                 2.3675,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.8211,                 1.4284,                 1.9314,                0.51107,                0.18438,                0.22039,                0.08122,                 2.4341,                 3.7466,                 2.6982,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.8043,                 1.4098,                 1.9027,                0.76189,                0.67648,                0.73044,                0.34845,                  1.752,                  1.357,                   1.89,               0.009901,               0.009901,               0.009901
                      7,                  1.769,                 1.3159,                 1.9082,                 0.5053,                0.30298,                 0.3452,                0.17073,                 2.0838,                 3.5727,                  2.426,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.7573,                 1.2979,                 1.8928,                0.72589,                0.74937,                0.78587,                0.34763,                 1.7196,                 1.2326,                 1.8613,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.7288,                 1.2249,                  1.867,                0.77927,                0.75203,                 0.8053,                0.35268,                 1.7583,                 1.1885,                  1.893,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.7181,                 1.2212,                 1.8648,                0.78538,                 0.7213,                0.80901,                0.39937,                  1.652,                 1.0966,                 1.8252,               0.009802,               0.009802,               0.009802
                     11,                 1.6878,                 1.1972,                 1.8562,                0.77483,                0.72471,                0.80275,                0.34684,                 1.9163,                 1.2114,                 2.0983,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.6881,                 1.1816,                 1.8541,                0.86035,                0.81135,                 0.8653,                0.41851,                 1.6225,                 1.0366,                 1.8389,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.6872,                 1.1755,                 1.8653,                0.82267,                0.78609,                0.84971,                0.41885,                 1.6169,                  1.014,                 1.8035,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.6645,                 1.1291,                 1.8303,                0.81181,                0.68672,                 0.7778,                 0.3677,                  1.758,                  1.237,                 1.9388,               0.009703,               0.009703,               0.009703
                     15,                 1.6539,                 1.1111,                 1.8194,                0.76598,                0.77465,                0.78492,                0.36308,                 1.6778,                 1.1564,                 1.8608,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.6573,                 1.1293,                 1.8487,                0.85069,                0.81093,                0.86913,                0.40405,                 1.7044,                 1.0473,                 1.8897,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.6484,                  1.118,                 1.8327,                0.72084,                0.63295,                0.66736,                0.27614,                  1.896,                 1.4661,                 2.0339,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.6506,                 1.1059,                 1.8368,                0.82375,                0.74806,                0.81484,                0.38643,                 1.6929,                 1.0968,                 1.8656,               0.009604,               0.009604,               0.009604
                     19,                 1.6378,                 1.1042,                 1.8325,                0.88987,                0.83455,                0.89442,                0.45618,                 1.5537,                0.98893,                 1.8076,              0.0095793,              0.0095793,              0.0095793
                     20,                  1.628,                 1.0811,                 1.8388,                0.82698,                0.68331,                0.77487,                 0.3804,                 1.7222,                 1.3021,                 1.9552,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.6083,                   1.05,                 1.8126,                0.87518,                0.75715,                0.85196,                0.42702,                 1.5903,                 1.0706,                 1.8003,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.6225,                 1.0807,                 1.8126,                0.87508,                0.77636,                0.85882,                0.43821,                 1.6182,                 1.0129,                 1.8168,               0.009505,               0.009505,               0.009505
                     23,                 1.6134,                 1.0724,                 1.8268,                0.87167,                0.82332,                0.88841,                0.43638,                 1.6551,                 1.0088,                 1.8753,              0.0094803,              0.0094803,              0.0094803
                     24,                 1.6246,                 1.0489,                 1.8232,                 0.8819,                0.86373,                 0.8969,                 0.4307,                 1.6134,                0.95381,                 1.8374,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.6006,                 1.0357,                 1.7959,                0.84612,                0.78404,                0.86156,                0.42883,                 1.6516,                 1.0061,                 1.8518,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.5986,                 1.0396,                 1.7939,                0.86761,                0.81818,                0.88932,                0.45854,                 1.5906,                0.93721,                 1.7847,               0.009406,               0.009406,               0.009406
                     27,                 1.5901,                 1.0243,                 1.7871,                0.87347,                0.83084,                0.89353,                0.44112,                 1.5914,                0.97825,                 1.8139,              0.0093813,              0.0093813,              0.0093813
