                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5496,                   3.51,                 2.5396,                0.00761,                0.69398,                0.04546,                0.01296,                 2.0902,                 3.6838,                 2.5836,              0.0032558,              0.0032558,              0.0032558
                      2,                 1.8623,                 2.0719,                 1.8868,                0.56892,                0.19771,                0.36003,                0.12046,                 2.0712,                  2.848,                 1.9608,              0.0065728,              0.0065728,              0.0065728
                      3,                 1.7967,                 1.7706,                 1.7601,                0.47697,                0.42467,                0.35144,                0.13232,                 2.0542,                 2.4969,                 2.3023,              0.0098734,              0.0098734,              0.0098734
                      4,                 1.8095,                 1.6389,                 1.7864,                0.16134,                0.22407,                0.09206,                0.02138,                 2.9369,                 3.3174,                 2.9588,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.7903,                 1.5591,                 1.7648,                0.49037,                0.32949,                 0.3208,                0.10827,                 2.6316,                 2.7096,                 2.6721,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.7648,                 1.4382,                 1.7718,                0.55818,                0.47288,                 0.3932,                0.12851,                 2.6035,                 2.3965,                 2.9198,               0.009901,               0.009901,               0.009901
                      7,                  1.744,                 1.3879,                 1.7535,                0.48824,                0.19206,                0.25675,                0.09807,                 2.3885,                 3.3495,                 3.0632,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.7397,                 1.3138,                 1.7485,                0.72112,                0.72983,                0.72721,                0.34683,                 1.8567,                 1.2238,                 1.8215,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.7093,                  1.291,                 1.7364,                 0.8083,                0.79343,                0.83254,                0.36788,                 1.8071,                 1.1061,                  1.816,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.7205,                 1.2712,                 1.7614,                0.79014,                0.79983,                0.83553,                0.37449,                 1.7556,                 1.4035,                 1.8124,               0.009802,               0.009802,               0.009802
                     11,                 1.6854,                 1.2543,                 1.7448,                0.77437,                0.61228,                0.68655,                0.26409,                 2.0258,                 1.4362,                 2.0376,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.7017,                 1.2461,                 1.7322,                0.81581,                0.76611,                0.81962,                0.37726,                 1.7272,                  1.236,                 1.8665,              0.0097525,              0.0097525,              0.0097525
                     13,                  1.678,                 1.2056,                 1.7445,                0.82242,                0.79462,                0.83462,                 0.3669,                 1.7776,                 1.1852,                 1.8607,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.6665,                 1.1757,                 1.7236,                 0.8599,                0.81989,                0.87533,                0.43887,                 1.6297,                0.96817,                 1.6641,               0.009703,               0.009703,               0.009703
                     15,                 1.6719,                 1.1542,                 1.7071,                0.61519,                 0.4012,                0.44553,                0.19914,                 2.1077,                 3.2052,                 2.4271,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.6625,                 1.1635,                 1.7148,                0.78149,                0.79898,                0.75396,                0.30288,                 1.9454,                 1.2919,                 1.9801,              0.0096535,              0.0096535,              0.0096535
