                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5432,                 3.0185,                 2.5304,                 0.5113,                0.34102,                0.32149,                0.10383,                 2.5677,                 2.3076,                 2.8959,              0.0032911,              0.0032911,              0.0032911
                      2,                 1.8645,                 1.5272,                 1.8897,                0.76498,                0.67179,                0.71195,                0.31574,                 1.9509,                 1.1953,                 1.9149,              0.0066081,              0.0066081,              0.0066081
                      3,                 1.8296,                 1.4502,                  1.818,                 0.4436,                0.25555,                0.32172,                0.13206,                 2.4315,                 3.4749,                 2.7976,              0.0099085,              0.0099085,              0.0099085
                      4,                 1.8341,                 1.4628,                 1.8185,                0.67802,                0.38668,                0.41773,                0.16456,                 2.3476,                  2.423,                 2.4463,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.8215,                 1.4448,                 1.8166,                0.68047,                0.65258,                0.62456,                0.22433,                  2.149,                 1.4224,                 2.2218,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.7789,                  1.373,                 1.7936,                0.57529,                0.40504,                0.39449,                0.16707,                 2.2506,                 2.5407,                 2.2502,               0.009901,               0.009901,               0.009901
                      7,                 1.7603,                 1.2825,                 1.7705,                0.78089,                0.66168,                0.71488,                0.32129,                 1.8506,                 1.6014,                 1.8741,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.7265,                 1.2782,                 1.7663,                0.77986,                0.76611,                0.79463,                0.36874,                 1.6773,                 1.1113,                  1.759,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.7144,                 1.2496,                 1.7734,                0.71005,                0.66453,                0.65609,                0.23974,                 2.0805,                 1.5296,                 2.1025,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.7053,                 1.2094,                  1.772,                0.81803,                0.69953,                0.78797,                0.36823,                 1.7365,                 1.1664,                 1.8219,               0.009802,               0.009802,               0.009802
                     11,                 1.6825,                 1.1982,                 1.7693,                0.73043,                0.54161,                0.58252,                0.27832,                 1.8604,                 2.0048,                 2.0902,              0.0097773,              0.0097773,              0.0097773
                     12,                  1.682,                 1.1879,                 1.7534,                0.86108,                0.79172,                0.85234,                0.41939,                 1.6537,                  1.021,                  1.725,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.6635,                 1.1559,                 1.7473,                0.77723,                 0.6686,                0.68753,                0.27938,                 2.0263,                 1.3795,                 2.1344,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.6624,                  1.152,                 1.7575,                0.81244,                0.74505,                0.81452,                0.37021,                 1.7275,                 1.1042,                 1.8358,               0.009703,               0.009703,               0.009703
                     15,                 1.6642,                 1.1291,                 1.7544,                0.80106,                0.72087,                0.78192,                0.36962,                 1.7414,                 1.2473,                 1.8101,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.6502,                 1.1171,                 1.7315,                0.84118,                0.77082,                 0.8512,                0.40687,                 1.6791,                  1.033,                 1.7371,              0.0096535,              0.0096535,              0.0096535
                     17,                  1.644,                 1.1167,                 1.7214,                0.81466,                0.77166,                0.82195,                0.38383,                 1.6794,                 1.1372,                 1.7678,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.6397,                 1.0901,                 1.7231,                0.86109,                0.81749,                0.88105,                0.44272,                 1.6256,                0.96268,                 1.7487,               0.009604,               0.009604,               0.009604
                     19,                  1.638,                 1.0595,                 1.7288,                0.83464,                0.70551,                0.77215,                0.37181,                 1.6604,                 1.2728,                 1.8193,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.6244,                 1.0808,                 1.7345,                0.85606,                0.75641,                0.84244,                0.40035,                 1.6743,                 1.0515,                 1.7667,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.6114,                 1.0811,                 1.7134,                0.82549,                0.69227,                 0.7841,                0.36455,                 1.7557,                  1.264,                  1.812,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.5945,                 1.0612,                 1.7122,                0.85301,                 0.7819,                0.83364,                0.40822,                 1.6876,                 1.1576,                  1.769,               0.009505,               0.009505,               0.009505
                     23,                 1.6041,                 1.0394,                 1.6929,                0.89055,                0.83696,                0.89478,                0.45634,                 1.5787,                0.89043,                 1.6582,              0.0094803,              0.0094803,              0.0094803
                     24,                  1.608,                 1.0544,                 1.7201,                0.87917,                0.78361,                0.82775,                0.41841,                 1.6469,                 1.0503,                 1.7666,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.5958,                 1.0368,                 1.6997,                0.88043,                 0.8265,                0.88976,                0.44058,                 1.6295,                0.93172,                 1.7229,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.5971,                 1.0388,                 1.6983,                 0.8894,                0.85117,                0.90663,                0.46732,                 1.5709,                0.88629,                 1.6678,               0.009406,               0.009406,               0.009406
                     27,                  1.586,                 1.0416,                 1.7063,                0.88514,                0.85845,                0.90601,                0.43369,                 1.6545,                0.93781,                 1.7671,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.5854,                 1.0241,                 1.7024,                0.88475,                0.84464,                0.89483,                0.46173,                 1.5703,                0.88931,                 1.6777,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.5786,                 1.0223,                 1.6965,                0.87713,                0.84763,                0.89568,                0.44401,                 1.6032,                0.90787,                 1.6996,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.5813,                 1.0074,                 1.6818,                0.87622,                0.83385,                0.89909,                0.45055,                 1.6245,                0.89738,                 1.7385,               0.009307,               0.009307,               0.009307
                     31,                  1.587,                 1.0069,                 1.6898,                0.87365,                0.67904,                0.79152,                0.40875,                 1.6839,                  1.334,                 1.8155,              0.0092823,              0.0092823,              0.0092823
                     32,                 1.5648,                  1.001,                 1.6852,                0.87995,                0.85407,                0.90937,                0.45123,                  1.617,                0.90863,                 1.7134,              0.0092575,              0.0092575,              0.0092575
