                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2351,                 2.5554,                 2.4245,                0.70515,                0.67776,                0.70841,                0.28114,                 1.8904,                 1.4182,                 2.2286,               0.003324,               0.003324,               0.003324
                      2,                 1.8067,                 1.6272,                 2.0155,                0.75519,                0.69099,                0.71952,                0.29615,                 1.8457,                 1.3949,                 2.1874,              0.0066409,              0.0066409,              0.0066409
                      3,                  1.866,                 1.7921,                 2.0497,                0.67552,                0.61755,                0.65572,                0.29895,                 1.8553,                 1.8242,                 2.1723,              0.0099413,              0.0099413,              0.0099413
                      4,                 1.9117,                 1.8269,                 2.1286,                0.75669,                0.66369,                0.70428,                0.29177,                 1.8193,                 1.4853,                 2.1526,              0.0099258,              0.0099258,              0.0099258
                      5,                 1.8558,                 1.6897,                 2.0952,                0.71408,                0.57881,                 0.6565,                0.29513,                 1.9538,                 1.6889,                 2.2658,              0.0099258,              0.0099258,              0.0099258
                      6,                 1.8383,                 1.5755,                 2.0804,                0.57081,                 0.2659,                0.33613,                0.15806,                 2.1322,                 3.1882,                 2.5741,               0.009901,               0.009901,               0.009901
                      7,                 1.8205,                 1.5898,                 2.0776,                0.75254,                 0.7563,                0.74517,                0.34327,                 1.7179,                 1.3443,                 2.1615,              0.0098763,              0.0098763,              0.0098763
                      8,                 1.8103,                 1.5175,                 2.1038,                0.81232,                0.76014,                0.81406,                0.37388,                  1.724,                  1.179,                 2.2644,              0.0098515,              0.0098515,              0.0098515
                      9,                 1.7498,                 1.4994,                 2.0549,                0.75425,                 0.5749,                0.67416,                0.29858,                 1.8873,                 1.5611,                 2.3306,              0.0098268,              0.0098268,              0.0098268
                     10,                 1.7457,                  1.381,                 2.0805,                0.76516,                0.71105,                0.78089,                0.36806,                 1.6812,                 1.2603,                  2.158,               0.009802,               0.009802,               0.009802
                     11,                 1.7272,                  1.336,                 2.0689,                0.76789,                0.72471,                0.77763,                0.38743,                 1.6211,                 1.3172,                 2.1141,              0.0097773,              0.0097773,              0.0097773
                     12,                 1.7262,                 1.3417,                 2.0656,                0.85055,                0.75544,                0.84503,                0.42081,                 1.6259,                 1.1203,                 2.1676,              0.0097525,              0.0097525,              0.0097525
                     13,                 1.6981,                 1.3022,                 2.0516,                0.82436,                0.78404,                0.82141,                0.38843,                 1.6541,                 1.1118,                   2.21,              0.0097278,              0.0097278,              0.0097278
                     14,                 1.6996,                 1.2474,                 2.0377,                0.78437,                 0.7654,                  0.826,                0.39866,                 1.6508,                 1.1438,                  2.141,               0.009703,               0.009703,               0.009703
                     15,                 1.7006,                 1.2738,                 2.0309,                0.81538,                0.78228,                0.83902,                0.40136,                 1.6306,                 1.1281,                 2.1427,              0.0096783,              0.0096783,              0.0096783
                     16,                 1.6659,                 1.2242,                 2.0309,                0.85648,                0.79213,                0.85261,                0.42008,                 1.6087,                 1.0624,                 2.1653,              0.0096535,              0.0096535,              0.0096535
                     17,                 1.6608,                 1.2471,                 2.0343,                 0.8585,                0.81178,                0.87555,                0.43232,                 1.6143,                 1.0633,                 2.1604,              0.0096288,              0.0096288,              0.0096288
                     18,                 1.6825,                 1.1996,                   2.04,                0.82918,                0.80176,                 0.8591,                0.41821,                 1.6342,                 1.0497,                 2.1768,               0.009604,               0.009604,               0.009604
                     19,                 1.6654,                 1.1994,                 2.0348,                0.81729,                0.82478,                0.86223,                0.43059,                 1.5928,                 1.0535,                 2.1686,              0.0095793,              0.0095793,              0.0095793
                     20,                 1.6433,                 1.1822,                 2.0154,                0.85591,                0.82928,                0.87558,                0.43474,                 1.6038,                 1.0436,                 2.1356,              0.0095545,              0.0095545,              0.0095545
                     21,                 1.6341,                 1.1594,                 1.9837,                0.83515,                0.79567,                0.85012,                0.41897,                 1.5932,                 1.0498,                 2.1776,              0.0095298,              0.0095298,              0.0095298
                     22,                 1.6298,                 1.1701,                  1.987,                0.84174,                0.74264,                0.82736,                0.39608,                 1.6344,                 1.0668,                 2.2062,               0.009505,               0.009505,               0.009505
                     23,                 1.6239,                 1.2104,                 1.9929,                0.82995,                0.80823,                0.85673,                0.41585,                 1.6245,                 1.0849,                  2.205,              0.0094803,              0.0094803,              0.0094803
                     24,                 1.6206,                 1.1477,                 2.0029,                0.86969,                0.80495,                 0.8597,                0.43788,                  1.544,                 1.0162,                 2.1471,              0.0094555,              0.0094555,              0.0094555
                     25,                 1.6131,                 1.1448,                 2.0257,                0.86015,                0.81306,                0.86037,                0.43464,                 1.5694,                 1.0003,                 2.1811,              0.0094307,              0.0094307,              0.0094307
                     26,                 1.6221,                 1.1576,                 1.9977,                0.82745,                0.80229,                 0.8509,                0.41928,                 1.5619,                 1.0736,                 2.1416,               0.009406,               0.009406,               0.009406
                     27,                 1.6198,                 1.1351,                 2.0097,                0.85517,                0.81901,                0.88446,                0.44969,                 1.5471,                0.98038,                 2.1718,              0.0093813,              0.0093813,              0.0093813
                     28,                 1.6367,                  1.155,                 2.0221,                0.85249,                  0.814,                0.86134,                0.41295,                 1.6269,                0.98706,                 2.2243,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.6195,                 1.1478,                  2.009,                0.87101,                 0.7983,                0.86317,                0.43088,                 1.5825,                0.97764,                 2.1906,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.6002,                 1.1049,                 1.9853,                0.87196,                0.82843,                0.89455,                0.45351,                 1.5893,                 0.9445,                  2.161,               0.009307,               0.009307,               0.009307
                     31,                 1.5954,                 1.1088,                 1.9639,                0.87215,                0.82976,                0.88313,                0.43751,                  1.602,                0.93411,                 2.1949,              0.0092823,              0.0092823,              0.0092823
                     32,                 1.5919,                 1.0965,                 1.9659,                 0.8752,                0.82607,                0.88875,                 0.4336,                 1.5835,                  1.002,                 2.1522,              0.0092575,              0.0092575,              0.0092575
                     33,                 1.5805,                  1.115,                 1.9676,                0.88172,                0.84422,                0.89901,                0.46145,                 1.5569,                0.92034,                 2.1305,              0.0092327,              0.0092327,              0.0092327
                     34,                 1.6115,                 1.0956,                 1.9864,                0.87138,                0.82586,                0.88544,                0.44907,                 1.5903,                0.96018,                 2.1438,               0.009208,               0.009208,               0.009208
                     35,                 1.5702,                 1.0934,                 1.9604,                0.87982,                0.84052,                0.89772,                0.43913,                  1.602,                 0.9309,                 2.1991,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.5923,                 1.0582,                 1.9954,                0.88004,                0.82972,                 0.8915,                0.44394,                 1.5755,                0.92626,                 2.1735,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.5883,                 1.0934,                 1.9797,                0.87892,                0.83739,                0.89873,                0.46841,                 1.5694,                0.91887,                 2.1764,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.5792,                 1.0747,                 1.9749,                0.87597,                0.85303,                0.89019,                0.44344,                 1.6065,                0.94783,                 2.1873,               0.009109,               0.009109,               0.009109
                     39,                 1.5825,                 1.0762,                 1.9483,                0.89374,                0.85074,                0.90008,                0.45749,                 1.5635,                0.89545,                 2.1439,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.5587,                 1.0419,                 1.9416,                0.88837,                0.84912,                0.91064,                0.46022,                 1.5778,                0.90043,                 2.1488,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.5576,                 1.0655,                 1.9416,                0.90339,                0.86204,                0.91342,                0.48175,                 1.5436,                0.90339,                 2.1376,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.5752,                 1.0432,                 1.9792,                 0.8762,                 0.7994,                0.88077,                0.45245,                  1.584,                0.94947,                 2.1792,                0.00901,                0.00901,                0.00901
                     43,                 1.5724,                 1.0515,                 1.9672,                 0.8884,                0.84592,                0.90175,                0.45342,                 1.6324,                0.89685,                 2.2393,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.5856,                 1.0418,                 1.9688,                0.88605,                 0.8408,                0.90334,                0.46077,                 1.5696,                 0.9086,                 2.1775,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.5765,                 1.0319,                 1.9595,                0.88054,                 0.8408,                0.90167,                0.45348,                 1.5779,                0.91862,                 2.1641,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.5554,                 1.0556,                 1.9379,                 0.8909,                0.83013,                0.90115,                0.47049,                 1.5778,                0.93634,                 2.1749,               0.008911,               0.008911,               0.008911
                     47,                 1.5581,                 1.0442,                 1.9425,                 0.8708,                0.83999,                 0.8926,                0.45815,                 1.5401,                0.96087,                 2.1166,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.5376,                  1.018,                 1.9474,                0.90714,                0.88135,                0.91686,                0.47016,                 1.5697,                0.89293,                 2.1633,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.5372,                 1.0258,                 1.9198,                0.90683,                0.86001,                0.91514,                0.47522,                 1.5753,                0.89565,                 2.1756,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.5489,                  1.015,                 1.9553,                0.90884,                0.76184,                0.84321,                0.43259,                 1.5885,                0.87233,                 2.2299,               0.008812,               0.008812,               0.008812
                     51,                 1.5457,                0.99568,                  1.961,                0.90581,                0.84592,                0.90576,                0.46375,                 1.5578,                0.90256,                 2.1638,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.5252,                0.99819,                 1.9306,                0.87527,                0.86258,                0.90856,                0.46916,                 1.5584,                 0.8765,                 2.1645,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.5517,                 1.0007,                 1.9572,                0.87761,                0.83867,                0.88719,                0.45047,                 1.5475,                0.88652,                 2.2022,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.5425,                 1.0256,                 1.9712,                0.88303,                0.87316,                0.90361,                0.45109,                 1.6062,                0.85516,                 2.2397,               0.008713,               0.008713,               0.008713
                     55,                 1.5274,                0.98988,                 1.9354,                0.90212,                0.87836,                0.92139,                0.47441,                 1.5783,                0.83387,                 2.1871,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.5292,                0.97878,                 1.9405,                0.89309,                0.85019,                0.91034,                0.46841,                 1.5877,                0.84388,                 2.2074,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.5005,                0.94824,                 1.9092,                0.89019,                0.85117,                 0.9013,                0.46507,                 1.5538,                0.90025,                 2.1486,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.5168,                0.95751,                 1.9345,                0.90188,                0.85361,                 0.9072,                0.46344,                  1.585,                0.84873,                 2.1734,               0.008614,               0.008614,               0.008614
                     59,                 1.5182,                0.98769,                 1.9217,                0.87846,                0.84522,                0.89764,                0.46036,                 1.5665,                 0.9058,                 2.1753,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.5095,                0.99108,                 1.9206,                 0.9101,                0.87836,                 0.9245,                0.47164,                 1.6042,                0.80771,                 2.2214,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.5274,                 1.0131,                 1.9482,                0.90541,                0.86199,                0.91481,                 0.4796,                 1.5441,                0.82406,                 2.1755,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.5131,                 0.9534,                 1.9182,                0.88583,                0.89202,                0.91816,                0.46847,                 1.5894,                0.82149,                 2.1786,               0.008515,               0.008515,               0.008515
                     63,                 1.5076,                0.95716,                 1.9121,                0.91039,                0.88893,                0.92282,                0.47826,                 1.5494,                0.82903,                 2.1452,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.4886,                0.92201,                 1.9051,                0.90342,                0.87324,                0.91659,                0.47998,                 1.5527,                0.84462,                 2.1789,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.5006,                0.92506,                 1.9135,                0.90723,                0.88073,                0.91708,                 0.4698,                 1.5943,                0.85935,                 2.1884,              0.0084408,              0.0084408,              0.0084408
